INFO(chunker_countsort_laszip.cpp:176): counting 000074.las, first point: 0, num points: 128'133
INFO(chunker_countsort_laszip.cpp:176): counting 000073.las, first point: 0, num points: 127'993
INFO(chunker_countsort_laszip.cpp:176): counting 000065.las, first point: 0, num points: 126'840
INFO(chunker_countsort_laszip.cpp:176): counting 000084.las, first point: 0, num points: 127'894
INFO(chunker_countsort_laszip.cpp:176): counting 000076.las, first point: 0, num points: 128'259
INFO(chunker_countsort_laszip.cpp:176): counting 000078.las, first point: 0, num points: 128'436
INFO(chunker_countsort_laszip.cpp:176): counting 000071.las, first point: 0, num points: 127'991
INFO(chunker_countsort_laszip.cpp:176): counting 000087.las, first point: 0, num points: 128'276
INFO(chunker_countsort_laszip.cpp:176): counting 000081.las, first point: 0, num points: 128'294
INFO(chunker_countsort_laszip.cpp:176): counting 000085.las, first point: 0, num points: 127'924
INFO(chunker_countsort_laszip.cpp:176): counting 000082.las, first point: 0, num points: 128'287
INFO(chunker_countsort_laszip.cpp:176): counting 000077.las, first point: 0, num points: 128'318
INFO(chunker_countsort_laszip.cpp:176): counting 000088.las, first point: 0, num points: 128'176
INFO(chunker_countsort_laszip.cpp:176): counting 000079.las, first point: 0, num points: 128'330
INFO(chunker_countsort_laszip.cpp:176): counting 000086.las, first point: 0, num points: 127'980
INFO(chunker_countsort_laszip.cpp:176): counting 000090.las, first point: 0, num points: 127'818
INFO(chunker_countsort_laszip.cpp:176): counting 000080.las, first point: 0, num points: 128'377
INFO(chunker_countsort_laszip.cpp:176): counting 000083.las, first point: 0, num points: 128'208
INFO(chunker_countsort_laszip.cpp:176): counting 000093.las, first point: 0, num points: 127'743
INFO(chunker_countsort_laszip.cpp:176): counting 000089.las, first point: 0, num points: 128'127
INFO(chunker_countsort_laszip.cpp:176): counting 000096.las, first point: 0, num points: 127'557
INFO(chunker_countsort_laszip.cpp:176): counting 000099.las, first point: 0, num points: 128'054
INFO(chunker_countsort_laszip.cpp:176): counting 000091.las, first point: 0, num points: 127'740
INFO(chunker_countsort_laszip.cpp:176): counting 000102.las, first point: 0, num points: 127'922
INFO(chunker_countsort_laszip.cpp:176): counting 000100.las, first point: 0, num points: 128'180
INFO(chunker_countsort_laszip.cpp:176): counting 000097.las, first point: 0, num points: 127'756
INFO(chunker_countsort_laszip.cpp:176): counting 000094.las, first point: 0, num points: 127'532
INFO(chunker_countsort_laszip.cpp:176): counting 000095.las, first point: 0, num points: 127'331
INFO(chunker_countsort_laszip.cpp:176): counting 000103.las, first point: 0, num points: 127'669
INFO(chunker_countsort_laszip.cpp:176): counting 000098.las, first point: 0, num points: 127'888
INFO(chunker_countsort_laszip.cpp:176): counting 000092.las, first point: 0, num points: 127'664
INFO(chunker_countsort_laszip.cpp:176): counting 000105.las, first point: 0, num points: 127'748
INFO(chunker_countsort_laszip.cpp:176): counting 000108.las, first point: 0, num points: 128'112
INFO(chunker_countsort_laszip.cpp:176): counting 000111.las, first point: 0, num points: 127'327
INFO(chunker_countsort_laszip.cpp:176): counting 000101.las, first point: 0, num points: 128'068
INFO(chunker_countsort_laszip.cpp:176): counting 000106.las, first point: 0, num points: 127'827
INFO(chunker_countsort_laszip.cpp:176): counting 000113.las, first point: 0, num points: 127'205
INFO(chunker_countsort_laszip.cpp:176): counting 000112.las, first point: 0, num points: 127'322
INFO(chunker_countsort_laszip.cpp:176): counting 000109.las, first point: 0, num points: 127'671
INFO(chunker_countsort_laszip.cpp:176): counting 000114.las, first point: 0, num points: 127'292
INFO(chunker_countsort_laszip.cpp:176): counting 000110.las, first point: 0, num points: 127'403
INFO(chunker_countsort_laszip.cpp:176): counting 000120.las, first point: 0, num points: 127'707
